Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,230.270004,236.899994,230.139999,235.990005,233.044724,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,234.614853,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,232.521301,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,229.440216,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,233.528580,25479900
2021-03-29,236.589996,236.800003,231.880005,235.240005,232.304077,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,228.956360,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,232.827454,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,239.325317,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,245.961456,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,244.766541,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,246.781082,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,250.089264,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,252.656830,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,252.716080,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,255.263855,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,252.400070,23070900
2021-04-15,257.929993,259.929993,257.730011,259.500000,256.261261,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,257.485779,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,255.510727,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,255.036758,19722900
